season_year,game_id,game_date,win_home,team_id_home,team_id_away,team_home,team_away,fgm_home,fgm_away,fga_home,fga_away,fg3m_home,fg3m_away,fg3a_home,fg3a_away,ftm_home,ftm_away,fta_home,fta_away,oreb_home,oreb_away,dreb_home,dreb_away,ast_home,ast_away,tov_home,tov_away,stl_home,stl_away,blk_home,blk_away,blka_home,blka_away,pts_home,pts_away,plus_minus_home,plus_minus_away
2021,22101222,1649548800,1,1610612746,1610612760,LAC,OKC,54,37,97,98,18,9,35,34,12,5,14,9,12,12,45,28,34,17,9.0,10.0,4,6,8,2,2,8,138,88,50.0,-50.0
2021,22101218,1649548800,1,1610612739,1610612749,CLE,MIL,51,39,94,88,19,12,38,30,12,25,17,32,10,8,38,33,39,27,12.0,12.0,5,7,5,2,2,5,133,115,18.0,-18.0
2021,22101219,1649548800,1,1610612742,1610612759,DAL,SAS,46,43,85,89,20,11,36,31,18,23,23,23,10,7,33,28,34,26,16.0,8.0,5,15,3,3,3,3,130,120,10.0,-10.0
2021,22101221,1649548800,0,1610612745,1610612737,HOU,ATL,41,45,89,87,17,21,46,38,15,19,20,24,6,13,28,37,24,29,8.0,13.0,4,4,4,4,4,4,114,130,-16.0,16.0
2021,22101225,1649548800,0,1610612740,1610612744,NOP,GSW,42,49,99,81,14,19,40,33,9,11,12,13,18,7,24,34,24,33,12.0,17.0,10,5,0,2,2,0,107,128,-21.0,21.0
2021,22101217,1649548800,1,1610612766,1610612764,CHA,WAS,48,42,89,94,18,8,33,23,10,16,14,26,11,17,37,26,34,25,20.0,11.0,6,12,9,3,3,9,124,108,16.0,-16.0
2021,22101224,1649548800,0,1610612750,1610612741,MIN,CHI,46,44,91,83,11,10,31,21,17,26,22,33,9,16,23,32,30,22,13.0,23.0,7,9,9,3,3,9,120,124,-4.0,4.0
2021,22101228,1649548800,1,1610612755,1610612765,PHI,DET,46,38,88,83,5,11,25,34,21,19,23,29,10,15,32,27,25,26,11.0,20.0,13,4,6,4,4,6,118,106,12.0,-12.0
2021,22101229,1649548800,0,1610612756,1610612758,PHX,SAC,42,40,103,76,14,14,47,26,11,22,15,30,18,2,32,38,27,26,11.0,15.0,9,9,7,7,7,7,109,116,-7.0,7.0
2021,22101220,1649548800,0,1610612743,1610612747,DEN,LAL,49,44,100,94,15,16,47,43,28,42,36,47,11,13,34,37,33,26,14.0,13.0,10,4,7,6,6,7,141,146,-5.0,5.0
