season_year,team_id_home,team_abbreviation_home,game_id,game_date,win_home,fgm_home,fga_home,fg3m_home,fg3a_home,ftm_home,fta_home,oreb_home,dreb_home,ast_home,tov_home,stl_home,blk_home,blka_home,pts_home,plus_minus_home,team_id_away,team_abbreviation_away,fgm_away,fga_away,fg3m_away,fg3a_away,ftm_away,fta_away,oreb_away,dreb_away,ast_away,tov_away,stl_away,blk_away,blka_away,pts_away,plus_minus_away
2013_14,1610612751,bkn,21300359,2013-12-16,1,47,78,21,35,15,26,4,38,35,21.0,10,2,0,130,36.0,1610612755,phi,37,90,8,30,12,20,8,31,21,19.0,14,0,2,94,-36.0
2018_19,1610612745,hou,21801200,2019-04-07,1,53,100,27,57,16,21,12,40,34,9.0,12,5,0,149,36.0,1610612756,phx,43,93,11,34,16,21,8,34,26,13.0,8,0,5,113,-36.0
2012_13,1610612745,hou,21200718,2013-02-05,1,46,91,23,40,25,35,14,34,35,9.0,6,2,5,140,31.0,1610612744,gsw,41,86,3,15,24,30,11,29,21,12.0,2,5,2,109,-31.0
2013_14,1610612757,por,21300480,2014-01-02,1,54,93,21,33,5,7,12,40,34,17.0,8,2,2,134,30.0,1610612766,cha,34,79,7,16,29,36,6,24,15,9.0,10,2,2,104,-30.0
2019_20,1610612750,min,21900782,2020-02-08,1,52,95,26,44,12,18,9,37,39,13.0,8,3,5,142,27.0,1610612746,lac,41,86,9,26,24,29,8,35,24,15.0,8,5,3,115,-27.0
2014_15,1610612737,atl,21400939,2015-03-09,1,53,88,20,36,4,7,10,23,42,13.0,8,6,2,130,25.0,1610612758,sac,39,81,8,20,19,20,16,24,21,16.0,10,2,6,105,-25.0
2023_24,1610612745,hou,22301024,2024-03-23,1,54,97,27,49,12,14,12,32,31,9.0,7,3,4,147,28.0,1610612762,uta,40,89,11,37,28,33,12,28,24,10.0,2,4,3,119,-28.0
2014_15,1610612745,hou,21401081,2015-03-27,1,44,83,20,44,12,17,13,28,34,18.0,10,6,1,120,10.0,1610612750,min,37,76,6,14,30,34,6,25,26,14.0,6,1,6,110,-10.0
2015_16,1610612746,lac,21500624,2016-01-18,1,47,91,22,37,24,33,9,32,28,13.0,10,6,5,140,8.0,1610612745,hou,44,88,11,32,33,52,16,36,31,14.0,8,5,6,132,-8.0
2021_22,1610612762,uta,22100339,2021-12-03,1,45,81,27,51,20,23,9,35,26,20.0,3,3,3,137,7.0,1610612738,bos,47,91,14,39,22,22,5,25,23,6.0,9,3,3,130,-7.0
2011_12,1610612752,nyk,21100628,2012-03-14,1,43,80,19,38,16,26,11,31,35,20.0,12,0,4,121,42.0,1610612757,por,28,75,5,17,18,23,16,22,11,27.0,14,4,0,79,-42.0
2019_20,1610612745,hou,21900282,2019-11-30,1,52,89,25,51,29,34,13,39,30,15.0,9,2,2,158,47.0,1610612737,atl,38,89,15,46,20,25,8,21,26,14.0,5,2,2,111,-47.0
2012_13,1610612759,sas,21200402,2012-12-23,1,47,84,20,30,15,19,8,33,33,17.0,17,5,1,129,38.0,1610612742,dal,34,74,5,14,18,29,9,30,22,20.0,10,1,5,91,-38.0
2019_20,1610612746,lac,21901241,2020-08-01,1,37,87,25,47,27,35,8,40,23,10.0,10,2,1,126,23.0,1610612740,nop,38,85,9,30,18,28,9,39,24,18.0,4,1,2,103,-23.0
2016_17,1610612743,den,21600827,2017-02-13,1,48,88,24,41,12,16,14,38,34,22.0,6,1,6,132,22.0,1610612744,gsw,45,92,8,32,12,13,4,23,25,9.0,12,6,1,110,-22.0
2016_17,1610612745,hou,21600395,2016-12-16,1,42,94,24,61,14,19,13,44,27,14.0,7,4,6,122,22.0,1610612740,nop,40,98,9,27,11,20,13,34,17,11.0,4,6,4,100,-22.0
2012_13,1610612752,nyk,21201156,2013-04-09,1,45,80,20,36,10,14,5,34,26,13.0,7,3,2,120,21.0,1610612764,was,35,77,8,20,21,30,11,27,18,13.0,6,2,3,99,-21.0
2020_21,1610612762,uta,22000478,2021-02-22,1,45,85,28,55,14,17,8,37,34,23.0,7,7,2,132,22.0,1610612766,cha,41,89,11,36,17,21,8,27,18,16.0,13,2,7,110,-22.0
2018_19,1610612745,hou,21800461,2018-12-19,1,47,85,26,55,16,21,8,33,30,17.0,8,2,2,136,18.0,1610612764,was,45,84,10,30,18,23,4,27,28,11.0,8,2,2,118,-18.0
2011_12,1610612752,nyk,21100915,2012-04-17,1,42,74,19,32,15,17,10,26,28,16.0,6,0,2,118,8.0,1610612738,bos,36,66,11,21,27,34,6,20,21,11.0,7,2,0,110,-8.0
2010_11,1610612744,gsw,21000975,2011-03-11,1,46,93,21,35,10,13,8,26,35,12.0,12,3,7,123,3.0,1610612753,orl,40,84,15,32,25,35,13,35,23,18.0,10,7,3,120,-3.0
2023_24,1610612738,bos,22300872,2024-03-03,1,53,96,25,49,9,11,7,44,35,8.0,10,5,3,140,52.0,1610612744,gsw,36,92,7,41,9,13,12,34,24,17.0,2,3,5,88,-52.0
2022_23,1610612738,bos,22200772,2023-02-01,1,53,92,26,54,7,10,11,46,28,12.0,4,4,1,139,43.0,1610612751,bkn,36,88,9,39,15,18,5,27,19,7.0,8,1,4,96,-43.0
2014_15,1610612739,cle,21400133,2014-11-15,1,49,90,19,31,10,13,12,35,39,14.0,12,2,8,127,33.0,1610612737,atl,40,90,3,22,11,13,11,26,26,19.0,6,8,2,94,-33.0
2014_15,1610612744,gsw,21400981,2015-03-14,1,45,90,19,34,16,17,8,34,34,11.0,13,6,10,125,31.0,1610612752,nyk,38,96,9,25,9,16,20,31,25,16.0,6,10,6,94,-31.0
2017_18,1610612745,hou,21700140,2017-11-05,1,48,81,23,39,18,21,5,37,26,20.0,9,7,3,137,27.0,1610612762,uta,38,88,13,34,21,24,8,25,22,13.0,7,3,7,110,-27.0
2022_23,1610612744,gsw,22200814,2023-02-06,1,56,97,26,50,3,7,11,34,43,16.0,6,3,3,141,27.0,1610612760,okc,44,91,11,32,15,21,7,29,21,11.0,8,3,3,114,-27.0
2010_11,1610612752,nyk,21001015,2011-03-17,1,41,79,20,36,18,21,6,29,25,10.0,5,3,2,120,21.0,1610612763,mem,35,76,4,12,25,30,9,32,22,13.0,6,2,3,99,-21.0
2022_23,1610612749,mil,22200939,2023-03-01,1,49,94,26,56,15,19,8,38,29,8.0,4,1,5,139,22.0,1610612753,orl,43,94,9,33,22,29,12,38,22,13.0,3,5,1,117,-22.0
2023_24,1610612740,nop,22300575,2024-01-17,1,44,88,25,47,19,23,16,34,32,13.0,11,3,8,132,20.0,1610612766,cha,39,90,19,45,15,18,15,26,29,14.0,7,8,3,112,-20.0
2023_24,1610612751,bkn,22301066,2024-03-29,1,43,91,25,44,14,22,12,31,26,7.0,9,3,6,125,17.0,1610612741,chi,38,75,9,30,23,29,5,39,24,13.0,3,6,3,108,-17.0
2022_23,1610612744,gsw,22200901,2023-02-24,1,37,78,26,54,16,18,7,40,27,19.0,3,3,3,116,15.0,1610612745,hou,36,92,11,35,18,22,13,31,23,7.0,12,3,3,101,-15.0
2014_15,1610612744,gsw,21400741,2015-02-04,1,45,86,19,38,19,25,10,36,29,13.0,5,5,1,128,14.0,1610612742,dal,41,98,10,30,22,28,14,28,24,8.0,8,1,5,114,-14.0
2023_24,1610612738,bos,22300955,2024-03-14,1,47,89,25,50,8,11,6,27,31,10.0,12,5,3,127,15.0,1610612756,phx,47,99,11,31,7,10,19,32,27,14.0,4,3,5,112,-15.0
2023_24,1610612758,sac,22300303,2023-12-11,1,48,94,25,45,10,14,10,33,38,13.0,4,3,6,131,13.0,1610612751,bkn,42,88,14,29,20,21,10,31,24,13.0,4,6,3,118,-13.0
2023_24,1610612751,bkn,22300250,2023-11-26,1,41,83,25,53,11,15,8,31,29,11.0,7,2,2,118,9.0,1610612741,chi,40,83,12,32,17,22,10,30,21,11.0,3,2,2,109,-9.0
2022_23,1610612746,lac,22200902,2023-02-24,0,59,98,26,45,31,36,7,35,39,25.0,8,3,3,175,-1.0,1610612758,sac,65,111,18,41,28,35,12,31,33,15.0,18,3,3,176,1.0
2012_13,1610612752,nyk,21200697,2013-02-02,1,47,86,19,43,7,13,15,37,34,17.0,8,1,2,120,39.0,1610612758,sac,32,76,6,21,11,15,5,25,14,19.0,8,2,1,81,-39.0
2020_21,1610612744,gsw,22001017,2021-05-08,1,47,81,27,54,15,18,2,44,31,19.0,5,4,1,136,39.0,1610612760,okc,38,94,9,37,12,20,11,30,21,13.0,10,1,4,97,-39.0
2016_17,1610612745,hou,21600380,2016-12-14,1,50,85,22,42,10,16,8,39,40,16.0,8,5,7,132,34.0,1610612758,sac,39,92,11,32,9,11,12,28,27,16.0,8,7,5,98,-34.0
2010_11,1610612743,den,21001192,2011-04-09,1,46,88,19,38,19,34,12,37,35,13.0,8,1,6,130,24.0,1610612750,min,39,85,11,32,17,20,7,31,22,15.0,5,6,1,106,-24.0
2012_13,1610612752,nyk,21200020,2012-11-02,1,36,84,19,36,13,15,13,28,27,14.0,10,0,5,104,20.0,1610612748,mia,33,71,7,20,11,13,7,34,18,21.0,4,5,0,84,-20.0
2013_14,1610612745,hou,21300234,2013-11-29,1,39,74,19,32,17,20,7,34,31,16.0,9,8,3,114,19.0,1610612751,bkn,37,89,6,22,15,23,15,29,24,12.0,10,3,8,95,-19.0
2016_17,1610612745,hou,21600872,2017-02-25,1,44,94,22,58,32,42,13,19,32,13.0,15,6,2,142,12.0,1610612750,min,49,94,9,26,23,28,21,37,28,25.0,10,2,6,130,-12.0
2015_16,1610612744,gsw,21501080,2016-03-25,1,43,88,21,45,21,23,7,33,30,7.0,8,10,6,128,8.0,1610612742,dal,43,96,18,35,16,21,15,36,31,11.0,3,6,10,120,-8.0
2013_14,1610612747,lal,21300872,2014-02-28,1,48,80,19,27,11,16,2,29,35,17.0,5,11,3,126,4.0,1610612758,sac,47,93,5,15,23,32,15,29,29,11.0,11,3,11,122,-4.0
2018_19,1610612745,hou,21800686,2019-01-19,1,42,100,25,68,29,36,12,27,23,12.0,9,4,4,138,4.0,1610612747,lal,50,96,10,37,24,30,13,43,27,16.0,6,4,4,134,-4.0
2015_16,1610612744,gsw,21501227,2016-04-13,1,46,87,20,47,13,16,12,39,35,17.0,7,7,1,125,21.0,1610612763,mem,42,98,8,24,12,16,13,27,25,13.0,12,1,7,104,-21.0
2015_16,1610612744,gsw,21500468,2015-12-28,1,43,89,20,42,16,24,13,46,33,18.0,12,8,4,122,19.0,1610612758,sac,37,95,13,31,16,28,13,35,23,15.0,10,4,8,103,-19.0
2019_20,1610612746,lac,21900763,2020-02-05,1,45,89,24,54,14,19,8,43,35,14.0,6,5,2,128,17.0,1610612748,mia,40,93,16,42,15,21,10,36,29,9.0,7,2,5,111,-17.0
2011_12,1610612753,orl,21100376,2012-02-08,1,35,83,17,42,15,21,17,31,24,16.0,8,2,6,102,13.0,1610612748,mia,36,76,5,15,12,17,9,29,20,13.0,10,6,2,89,-13.0
2018_19,1610612744,gsw,21800663,2019-01-16,1,49,102,24,49,25,31,10,47,33,10.0,8,5,5,147,7.0,1610612740,nop,47,98,19,37,27,33,7,42,36,10.0,6,5,5,140,-7.0
2018_19,1610612738,bos,21800115,2018-11-01,1,41,92,24,55,11,13,8,34,30,13.0,5,8,3,117,4.0,1610612749,mil,41,85,9,29,22,30,8,37,20,14.0,8,3,8,113,-4.0
2015_16,1610612744,gsw,21501136,2016-04-01,0,38,83,20,43,10,13,8,33,25,22.0,12,7,1,106,-3.0,1610612738,bos,41,87,8,23,19,30,11,33,28,14.0,10,1,7,109,3.0
2020_21,1610612762,uta,22000752,2021-04-03,1,51,92,26,55,9,12,7,43,34,11.0,10,6,4,137,46.0,1610612753,orl,32,87,2,23,25,31,9,30,11,11.0,5,4,6,91,-46.0
2010_11,1610612750,min,21000291,2010-12-04,1,48,81,18,26,15,18,6,40,30,18.0,4,8,3,129,34.0,1610612739,cle,34,88,5,21,22,25,9,20,21,9.0,9,3,8,95,-34.0
2014_15,1610612742,dal,21400180,2014-11-21,1,51,82,18,35,20,28,11,28,37,9.0,4,2,4,140,34.0,1610612747,lal,44,85,5,13,13,21,13,20,24,10.0,3,4,2,106,-34.0
2013_14,1610612747,lal,21301060,2014-03-25,1,48,83,18,28,13,15,8,30,32,17.0,10,2,4,127,31.0,1610612752,nyk,36,74,4,15,20,27,8,24,23,16.0,9,4,2,96,-31.0
2010_11,1610612743,den,21000984,2011-03-12,1,46,82,18,37,21,29,11,33,33,11.0,10,3,1,131,30.0,1610612765,det,44,88,6,16,7,7,8,25,24,13.0,7,1,3,101,-30.0
