team,enemy,win,home,diff
GSW,POR,1,0,56.0
MIL,MIA,1,0,47.0
BKN,PHI,1,1,36.0
POR,PHI,1,0,34.0
HOU,PHX,1,1,36.0
HOU,GSW,1,1,31.0
POR,CHA,1,1,30.0
BKN,CHI,1,0,28.0
MIN,LAC,1,1,27.0
ATL,SAC,1,1,25.0
HOU,UTA,1,1,28.0
GSW,PHX,1,0,19.0
GSW,DAL,1,0,18.0
BOS,NYK,1,0,15.0
DEN,MIL,1,0,11.0
HOU,MIN,1,1,10.0
LAC,HOU,1,1,8.0
UTA,BOS,1,1,7.0
PHX,LAL,1,0,5.0
CLE,ATL,1,0,5.0
NJN,DEN,0,0,-8.0
NYK,POR,1,1,42.0
HOU,ATL,1,1,47.0
SAS,DAL,1,1,38.0
HOU,GSW,1,0,30.0
HOU,OKC,1,0,30.0
LAC,NOP,1,1,23.0
HOU,SAC,1,0,25.0
DEN,GSW,1,1,22.0
HOU,NOP,1,1,22.0
NYK,WAS,1,1,21.0
UTA,CHA,1,1,22.0
HOU,WAS,1,1,18.0
GSW,LAL,1,0,14.0
MIL,NYK,1,0,12.0
NYK,BOS,1,1,8.0
GSW,ORL,1,1,3.0
BOS,GSW,1,1,52.0
BOS,PHI,1,0,48.0
BOS,BKN,1,1,43.0
CLE,ATL,1,1,33.0
GSW,NYK,1,1,31.0
BOS,LAC,1,0,37.0
UTA,MIN,1,0,32.0
HOU,UTA,1,1,27.0
GSW,OKC,1,1,27.0
NYK,MEM,1,1,21.0
MIL,ORL,1,1,22.0
NOP,CHA,1,1,20.0
BKN,CHI,1,1,17.0
GSW,HOU,1,1,15.0
GSW,DAL,1,1,14.0
BOS,PHX,1,1,15.0
SAC,BKN,1,1,13.0
ATL,MIN,1,0,11.0
BKN,CHI,1,1,9.0
LAC,SAC,0,1,-1.0
ORL,SAC,0,0,-3.0
DET,MEM,0,0,-13.0
NYK,SAC,1,1,39.0
GSW,OKC,1,1,39.0
HOU,SAC,1,1,34.0
CLE,NYK,1,0,32.0
SAS,CHA,1,0,30.0
DEN,MIN,1,1,24.0
NYK,MIA,1,1,20.0
HOU,BKN,1,1,19.0
ORL,CLE,1,0,15.0
HOU,MIN,1,1,12.0
BKN,SAC,1,0,11.0
GSW,DAL,1,1,8.0
LAL,SAC,1,1,4.0
HOU,LAL,1,1,4.0
HOU,WAS,0,0,-2.0
HOU,PHX,0,0,-2.0
NYK,MIA,0,0,-10.0
GSW,CHI,1,0,25.0
GSW,MEM,1,1,21.0
DAL,GSW,1,0,20.0
GSW,SAC,1,1,19.0
HOU,MIN,1,0,18.0
LAC,MIA,1,1,17.0
HOU,CHA,1,0,16.0
ORL,MIA,1,1,13.0
GSW,WAS,1,0,13.0
ORL,NYK,1,0,9.0
DAL,NOP,1,0,8.0
GSW,NOP,1,1,7.0
BOS,MIL,1,1,4.0
CHA,SAC,1,0,1.0
GSW,BOS,0,1,-3.0
UTA,ORL,1,1,46.0
MIN,CLE,1,1,34.0
DAL,LAL,1,1,34.0
LAL,NYK,1,1,31.0
DEN,DET,1,1,30.0
CHA,IND,1,0,32.0
HOU,LAL,1,0,26.0
CHA,DET,1,1,29.0
NYK,ORL,1,0,25.0
POR,PHI,1,1,21.0
CHI,UTA,1,1,18.0
UTA,CHA,1,0,17.0
CLE,ORL,1,0,15.0
CLE,LAL,1,1,15.0
WAS,PHI,1,0,14.0
LAL,CLE,1,0,11.0
PHX,MIN,1,1,8.0
HOU,SAC,1,1,4.0
DAL,MEM,0,0,-9.0
HOU,MEM,1,1,28.0
HOU,BKN,1,0,25.0
MIA,SAS,1,1,22.0
SAS,DAL,1,1,22.0
CLE,NJN,1,1,16.0
GSW,CHA,1,1,15.0
HOU,SAC,1,0,13.0
MIA,CHA,1,0,13.0
CLE,POR,1,1,12.0
POR,DEN,1,0,10.0
HOU,NYK,1,1,7.0
ORL,POR,1,0,3.0
POR,SAC,0,0,-1.0
CHA,CHI,1,1,1.0
HOU,WAS,1,0,1.0
MIN,SAC,0,1,-4.0
GSW,SAC,0,0,-8.0
MEM,HOU,1,1,37.0
HOU,PHX,1,0,26.0
GSW,HOU,1,1,19.0
HOU,DAL,1,1,16.0
GSW,MIN,1,1,13.0
DAL,NOP,1,1,13.0
UTA,MIL,1,0,13.0
CHI,NOP,1,1,13.0
BOS,CHA,1,1,11.0
OKC,MIL,1,0,11.0
HOU,MIL,1,1,7.0
HOU,DAL,1,0,7.0
PHX,HOU,1,1,6.0
DAL,PHI,1,1,7.0
BOS,ATL,1,1,6.0
CLE,MIN,1,1,2.0
HOU,BKN,0,1,-3.0
HOU,MIL,0,0,-8.0
BKN,NOP,0,1,-10.0
BOS,WAS,1,1,42.0
DEN,LAL,1,1,37.0
DEN,MIL,1,0,36.0
LAC,MIL,1,0,34.0
MIL,POR,1,0,29.0
MIA,CHA,1,1,29.0
MIL,NOP,1,1,23.0
NYK,MIA,1,0,20.0
CHA,MIN,1,1,18.0
MIN,DEN,1,0,17.0
ORL,MIA,1,1,14.0
UTA,OKC,1,0,13.0
PHI,IND,1,0,9.0
HOU,CHA,1,1,3.0
LAC,NOH,0,1,-7.0
NYK,ORL,1,1,38.0
GSW,CLE,1,0,34.0
POR,UTA,1,1,32.0
